origin_czone,n_trips,n_escorted,escort_rate,pop_count,pop_weight,escort_rate_pct
432,71,43,0.6056338028169014,66.0,0.011939218523878437,60.6
441,7,2,0.2857142857142857,4.0,0.000723589001447178,28.6
451,71,41,0.5774647887323944,33.0,0.005969609261939218,57.7
471,108,60,0.5555555555555556,103.0,0.018632416787264832,55.6
481,28,15,0.5357142857142857,18.0,0.003256150506512301,53.6
491,116,60,0.5172413793103449,68.0,0.012301013024602027,51.7
501,144,87,0.6041666666666666,139.0,0.025144717800289436,60.4
511,153,83,0.5424836601307189,142.0,0.02568740955137482,54.2
512,115,74,0.6434782608695652,99.0,0.017908827785817656,64.3
531,80,35,0.4375,59.0,0.010672937771345875,43.8
551,37,13,0.35135135135135137,33.0,0.005969609261939218,35.1
552,29,18,0.6206896551724138,12.0,0.002170767004341534,62.1
553,33,13,0.3939393939393939,36.0,0.006512301013024602,39.4
554,78,37,0.47435897435897434,58.0,0.010492040520984082,47.4
555,8,5,0.625,6.0,0.001085383502170767,62.5
571,15,9,0.6,5.0,0.0009044862518089725,60.0
581,83,41,0.4939759036144578,70.0,0.012662807525325614,49.4
582,50,31,0.62,40.0,0.00723589001447178,62.0
583,18,12,0.6666666666666666,3.0,0.0005426917510853835,66.7
601,32,21,0.65625,2.0,0.000361794500723589,65.6
611,104,60,0.5769230769230769,72.0,0.013024602026049204,57.7
621,103,75,0.7281553398058253,104.0,0.01881331403762663,72.8
631,146,85,0.5821917808219178,123.0,0.022250361794500722,58.2
632,15,11,0.7333333333333333,14.0,0.002532561505065123,73.3
641,67,43,0.6417910447761194,41.0,0.0074167872648335745,64.2
642,89,46,0.5168539325842697,78.0,0.014109985528219971,51.7
651,115,59,0.5130434782608696,71.0,0.01284370477568741,51.3
661,53,33,0.6226415094339622,71.0,0.01284370477568741,62.3
671,180,106,0.5888888888888889,109.0,0.0197178002894356,58.9
672,103,45,0.4368932038834951,83.0,0.015014471780028944,43.7
673,95,58,0.6105263157894737,77.0,0.013929088277858177,61.1
681,180,107,0.5944444444444444,131.0,0.02369753979739508,59.4
691,58,31,0.5344827586206896,46.0,0.008321273516642547,53.4
